date,season,home_team,away_team,wday,midweek,points_home,points_away,fthg,ftag,hs,as,hst,ast,hf,af,hy,ay,hr,ar,hc,ac,acn,before_national_comps,after_national_comps,capacity,distance,ln_capacity,season_part,ht_promoted,at_promoted,ht_mv,at_mv,ht_short_week,at_short_week,rm_hs,rm_as,rm_hst,rm_ast,rm_fthg,rm_ftag,rm_hc,rm_ac,rm_hf,rm_af,rm_hy,rm_ay,rm_hr,rm_ar,h,a,d,expected_points_ht,expected_points_at,rm_exp_points_ht,rm_exp_points_at,dec_mar,diff_rm_exp_points,ht_outcome,ht_points,w
2009-09-20,2009-10,Chelsea,Tottenham,1,0,3,0,3,0,25,9,15,4,7,9,0,2,0,0,11,3,0,0,0,40834,15568.514358026661,10.617270346696145,beginning,0,0,$497.15m,$289.88m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6246200436681744,0.13695299820738654,0.23842695812443904,1.873860131004523,0.41085899462215963,2.02963840897766,1.1474287321754053,0,0.8822096768022547,1,3,1.1071600637161017
2009-09-20,2009-10,Everton,Blackburn,1,0,3,0,3,0,18,7,11,4,15,18,1,2,0,0,6,2,0,0,0,39572,45112.84474909149,10.585877076443113,beginning,0,0,$240.82m,$100.79m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5250751835123465,0.20021865187881852,0.274706164608835,1.5752255505370396,0.6006559556364556,1.3624005005022581,1.0466508097090028,0,0.3157496907932553,1,3,1.1021743804462742
2009-09-20,2009-10,Man United,Man City,1,0,3,0,4,3,21,10,11,6,15,14,2,2,0,0,11,1,0,0,0,74140,5746.273928950954,11.213710476704723,beginning,0,0,$423.36m,$343.75m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5816748303251554,0.1678001798728604,0.2505249898019841,1.7450244909754664,0.5034005396185812,1.5355633684497367,1.3399583374564543,0,0.19560503099328241,1,3,1.1088709040061253
2009-09-20,2009-10,Wolves,Fulham,1,0,3,0,2,1,12,3,4,1,14,11,1,1,0,0,3,3,0,0,0,32050,180270.82612913166,10.375052462348815,beginning,1,0,$72.02m,$111.57m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3732926121486357,0.3372135234899714,0.2894938643613929,1.119877836445907,1.0116405704699143,0.8441449707903539,0.7853245850567472,0,0.058820385733606706,1,3,1.0821648467161202
2009-09-26,2009-10,Birmingham,Bolton,7,0,0,3,1,2,12,10,6,4,9,17,2,1,0,0,8,4,0,0,0,29409,130970.58928430987,10.289056028929835,beginning,1,0,$76.62m,$94.38m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4258477803725646,0.2854221055248368,0.2887301141025986,1.2775433411176937,0.8562663165745105,0.8536528115055496,0.920724461792372,0,-0.06707165028682238,0,-3,1.0889636856263305
2009-09-26,2009-10,Blackburn,Aston Villa,7,0,3,0,2,1,15,10,7,5,14,11,2,3,1,0,6,5,0,0,0,31367,141631.29461234107,10.353511663841456,beginning,0,0,$100.79m,$184.11m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31093542921884443,0.4019130719693955,0.28715149881176,0.9328062876565333,1.2057392159081866,1.0841442828545982,1.5199242998836655,0,-0.4357800170290673,1,3,1.0874473582001485
2009-09-26,2009-10,Fulham,Arsenal,7,0,0,3,0,1,18,14,12,4,14,11,4,0,0,0,4,6,0,0,0,19359,11872.135955464802,9.87091270660395,beginning,0,0,$111.57m,$345.73m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15140252204351087,0.5995776635056159,0.24901981445087312,0.4542075661305326,1.7987329905168479,0.7899931812119898,1.5052431644567714,0,-0.7152499832447816,0,-3,1.1078007218668857
2009-09-26,2009-10,Liverpool,Hull,7,0,3,0,6,1,22,7,14,3,10,3,1,4,0,0,13,2,0,0,0,53394,174866.17909271567,10.885453659084916,beginning,0,0,$364.71m,$80.52m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8113631836460238,0.05235213614382459,0.1362846802101517,2.4340895509380713,0.15705640843147378,2.0992822896709153,0.6866639069658608,0,1.4126183827050545,1,3,1.082884079155284
2009-09-26,2009-10,Portsmouth,Everton,7,0,0,3,0,1,16,12,12,8,14,17,0,3,0,0,5,6,0,0,0,20620,321591.8894680663,9.934016757570951,beginning,0,0,$106.32m,$240.82m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23745594175760662,0.4843311107836114,0.27821294745878195,0.7123678252728198,1.4529933323508342,0.6566791922595016,1.4115703576098815,0,-0.7548911653503799,0,-3,1.0654205000360215
2009-09-26,2009-10,Stoke,Man United,7,0,0,3,0,2,2,13,1,7,9,8,1,1,0,0,2,7,0,0,0,30089,52920.803743498815,10.311914935439406,beginning,0,0,$88.72m,$423.36m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10935901956232057,0.6764726591275011,0.21416832131017827,0.3280770586869617,2.0294179773825034,0.6630339276164837,1.5842047088123863,0,-0.9211707811959026,0,-3,1.100895970084671
